,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
M67,0.075753525,0.028860781,0.087432705,0.1253626,0.120109625,0.112752214,0.11454248,0.09764408,0.038317904,0.1450813,0.08207574,0.017653152,0.07860702,0.05275908,0.068293154,0.07792875,0.09631906,0.047875308,0.07293884,0.031041967,0.08769619,0.07766413,0.037590787,0.07097396
M35,0.1418678,0.2514922,0.07722481,0.072667204,0.105123244,0.18716705,0.106229156,0.06279728,0.054460265,0.024215676,0.081981495,0.11815291,0.09035223,0.12203703,0.106151156,0.12414208,0.06864913,0.16289046,0.18263201,0.050391518,0.051497545,0.11870246,0.13715231,0.14098386
M46,0.14043534,0.014606918,0.031074462,0.17936501,0.10341655,0.16866803,0.065158,0.0473379,0.07390461,0.058614127,0.08339255,0.10756176,0.0329824,0.13888504,0.007754512,0.20384209,0.012712932,0.15089658,0.24041554,0.10891495,0.09575429,0.058581375,0.050884064,0.06436201
M15,0.13595077,0.055328194,0.09518955,0.11743683,0.049892396,0.07563092,0.044934772,0.098371066,0.11606383,0.07297691,0.11124876,0.022168038,0.1579437,0.09565923,0.11528819,0.046368305,0.103239834,0.027004275,0.11989012,0.12702101,0.10895232,0.1185755,0.057407703,0.14332487
M40,0.100190006,0.11821775,0.13646105,0.09126375,0.17040089,0.09171356,0.0775755,0.071651414,0.042901613,0.09121675,0.099233426,0.028407194,0.06627281,0.22430354,0.073919356,0.07977952,0.14562064,0.13216318,0.091006644,0.0394298,0.08214006,0.06459603,0.07975231,0.078717835
M66,0.11905028,0.08806219,0.05167292,0.16819759,0.05274353,0.035397053,0.019351063,0.07403182,0.013524728,0.045974586,0.1137718,0.094586976,0.02860649,0.022254845,0.05983688,0.10643842,0.0407388,0.14431107,0.17726411,0.16694753,0.008841358,0.054814856,0.14981136,0.05016766
M18,0.072817065,0.12840293,0.07513872,0.20740657,0.15613613,0.16878596,0.043572463,0.044458292,0.04973272,0.09800024,0.06604544,0.13814995,0.24253517,0.060964167,0.10173527,0.058906768,0.049262527,0.17502631,0.09666796,0.10099802,0.0052723363,0.06515117,0.12917483,0.097975336
M37,0.054942023,0.10250692,0.2106236,0.13146606,0.010617203,0.08216923,0.08162219,0.18435797,0.087078236,0.04583034,0.095952034,0.07548794,0.059716217,0.116114706,0.14543976,0.15803432,0.04437698,0.14228311,0.14517805,0.03884055,0.112769805,0.09839738,0.09167558,0.09779181
M0,0.06330905,0.022469629,0.07060169,0.09471251,0.06646234,0.11980176,0.14544265,0.0319103,0.05538823,0.024482196,0.12295819,0.072022155,0.074706495,0.17244108,0.13461986,0.029100433,0.02641152,0.080111355,0.041674744,0.15912321,0.14721322,0.039827894,0.08873062,0.08503669
M26,0.11815872,0.07717306,0.03848313,0.12914057,0.040083107,0.088198625,0.044987258,0.15400575,0.05906817,0.04699086,0.13455984,0.086236626,0.05450052,0.14348705,0.13343777,0.023703003,0.08618489,0.12494627,0.044602145,0.06924327,0.03994014,0.105892666,0.12122502,0.0641775
