,lh_Ca,lh_GPe,lh_GPi,lh_Pu,lh_STH,lh_cerebellum_dentate,lh_cerebellum_motor,lh_paracentral_smooth3mm,lh_postcentral_smooth3mm,lh_precentral_smooth3mm,lh_superiorfrontal_smooth3mm,lh_vim,lh_zi,rh_Ca,rh_GPe,rh_GPi,rh_Pu,rh_STH,rh_cerebellum_dentate,rh_cerebellum_motor,rh_paracentral_smooth3mm,rh_postcentral_smooth3mm,rh_precentral_smooth3mm,rh_superiorfrontal_smooth3mm
M51,0.058750175,0.14884691,0.03689014,0.12526344,0.1347476,0.1736905,0.09395867,0.054280296,0.102062136,0.040239234,0.11278544,0.044113778,0.06081168,0.082820125,0.110221006,0.12712374,0.06056798,0.17178085,0.1439902,0.16386566,0.057465862,0.03396238,0.03576385,0.04204722
M88,0.049966585,0.113061436,0.085270286,0.13977201,0.04084861,0.04215806,0.07414924,0.1518042,0.059478074,0.06934181,0.115253374,0.12461116,0.05473924,0.07627541,0.03744775,0.17562069,0.08498834,0.14079249,0.039830666,0.07970468,0.066259354,0.039472632,0.104091816,0.028523363
M37,0.02881883,0.024460606,0.11756132,0.051142983,0.019200275,0.085574,0.04674371,0.04065801,0.05077813,0.06787368,0.057664417,0.076435745,0.07422661,0.08389387,0.095757626,0.029522708,0.058945626,0.054781202,0.035821397,0.067507364,0.04292491,0.111200534,0.09349696,0.16842873
M73,0.14969173,0.06539122,0.048809208,0.051877804,0.18345946,0.17504491,0.13960947,0.10448961,0.07930728,0.14146556,0.02985185,0.089852676,0.13924038,0.11552181,0.06580747,0.027828153,0.10075922,0.03317766,0.13614391,0.107587695,0.027186895,0.15177724,0.08496078,0.056897543
M87,0.17482316,0.076202035,0.058926657,0.10546924,0.18702492,0.15738395,0.10561773,0.13281916,0.08961302,0.07997054,0.117840245,0.1382817,0.13816176,0.10273056,0.14502059,0.14283754,0.06852285,0.06508437,0.27384758,0.06976391,0.11680716,0.15672329,0.09324167,0.06491406
M27,0.040664375,0.02513463,0.13661146,0.13747986,0.21629594,0.09021498,0.06611514,0.019132124,0.10527896,0.12514521,0.055864826,0.06624029,0.06639664,0.1976896,0.10952886,0.050612424,0.17506538,0.10690698,0.044550817,0.09201455,0.042034004,0.09304684,0.16714962,0.08679099
M12,0.042754024,0.10595735,0.11402524,0.15949084,0.05984907,0.13340837,0.017880175,0.14140543,0.08229063,0.14814834,0.05559775,0.10480516,0.24393338,0.11030421,0.03558275,0.07169425,0.058392428,0.04207999,0.0052553415,0.0755309,0.19509824,0.04278862,0.030881196,0.094772555
M71,0.17187625,0.12277449,0.043039832,0.19276536,0.21323423,0.094707,0.061922543,0.11120198,0.08231131,0.05529629,0.023879832,0.147428,0.06447884,0.07360323,0.04656458,0.09910997,0.05770453,0.16765568,0.10792854,0.08155373,0.056751486,0.016906332,0.052607924,0.07700452
M23,0.14200851,0.024237707,0.018294057,0.19141077,0.06933934,0.032109536,0.15984368,0.07441686,0.20928338,0.171699,0.092442505,0.06762531,0.2338936,0.117117755,0.09159066,0.077777766,0.11193767,0.02944646,0.124270044,0.110248104,0.234339,0.18708509,0.06863285,0.10329746
M55,0.039078906,0.09403062,0.20068713,0.072587155,0.111132175,0.13887829,0.096015185,0.09963352,0.05357502,0.0394576,0.015738362,0.16335423,0.19540755,0.10613954,0.15925984,0.08767436,0.07229093,0.09007318,0.14960179,0.120985605,0.10428297,0.050372146,0.19272654,0.088220365
